date,time,realp,reactivep,voltage,gt,sm1,sm2,sm3,realpkwh,reactivepkwh,sm1kwh,sm2kwh,sm3kwh,prediction
16/12/2006,17:24:00,4.216,0.418,234.84,18.4,0,1,17,0.0703,0.007,0,0.001,0.017,0.07015
16/12/2006,17:25:00,5.36,0.436,233.63,23,0,1,16,0.0893,0.0073,0,0.001,0.016,0.0893
16/12/2006,17:26:00,5.374,0.498,233.29,23,0,2,17,0.0896,0.0083,0,0.002,0.017,0.0896
16/12/2006,17:27:00,5.388,0.502,233.74,23,0,1,17,0.0898,0.0084,0,0.001,0.017,0.0898
16/12/2006,17:28:00,3.666,0.528,235.68,15.8,0,1,17,0.0611,0.0088,0,0.001,0.017,0.0611
16/12/2006,17:29:00,3.52,0.522,235.02,15,0,2,17,0.0587,0.0087,0,0.002,0.017,0.0587
16/12/2006,17:30:00,3.702,0.52,235.09,15.8,0,1,17,0.0617,0.0087,0,0.001,0.017,0.0617
16/12/2006,17:31:00,3.7,0.52,235.22,15.8,0,1,17,0.0617,0.0087,0,0.001,0.017,0.0617
16/12/2006,17:32:00,3.668,0.51,233.99,15.8,0,1,17,0.0611,0.0085,0,0.001,0.017,0.0611
16/12/2006,17:33:00,3.662,0.51,233.86,15.8,0,2,16,0.061,0.0085,0,0.002,0.016,0.061
16/12/2006,17:34:00,4.448,0.498,232.86,19.6,0,1,17,0.0741,0.0083,0,0.001,0.017,0.0741
16/12/2006,17:35:00,5.412,0.47,232.78,23.2,0,1,17,0.0902,0.0078,0,0.001,0.017,0.0611
16/12/2006,17:36:00,5.224,0.478,232.99,22.4,0,1,16,0.0871,0.008,0,0.001,0.016,0.0871
16/12/2006,17:37:00,5.268,0.398,232.91,22.6,0,2,17,0.0878,0.0066,0,0.002,0.017,0.0878
16/12/2006,17:38:00,4.054,0.422,235.24,17.6,0,1,17,0.0676,0.007,0,0.001,0.017,0.0676
16/12/2006,17:39:00,3.384,0.282,237.14,14.2,0,0,17,0.0564,0.0047,0,0,0.017,0.0564
16/12/2006,17:40:00,3.27,0.152,236.73,13.8,0,0,17,0.0545,0.0025,0,0,0.017,0.0545
16/12/2006,17:41:00,3.43,0.156,237.06,14.4,0,0,17,0.0572,0.0026,0,0,0.017,0.0572
16/12/2006,17:42:00,3.266,0,237.13,13.8,0,0,18,0.0544,0,0,0,0.018,0.0544
16/12/2006,17:43:00,3.728,0,235.84,16.4,0,0,17,0.0621,0,0,0,0.017,0.0621
16/12/2006,17:44:00,5.894,0,232.69,25.4,0,0,16,0.0982,0,0,0,0.016,0.0558
16/12/2006,17:45:00,7.706,0,230.98,33.2,0,0,17,0.1284,0,0,0,0.017,0.1284
16/12/2006,17:46:00,7.026,0,232.21,30.6,0,0,16,0.1171,0,0,0,0.016,0.1171
16/12/2006,17:47:00,5.174,0,234.19,22,0,0,17,0.0862,0,0,0,0.017,0.0862
16/12/2006,17:48:00,4.474,0,234.96,19.4,0,0,17,0.0746,0,0,0,0.017,0.0746
16/12/2006,17:49:00,3.248,0,236.66,13.6,0,0,17,0.0541,0,0,0,0.017,0.0541
16/12/2006,17:50:00,3.236,0,235.84,13.6,0,0,17,0.0539,0,0,0,0.017,0.0539
16/12/2006,17:51:00,3.228,0,235.6,13.6,0,0,17,0.0538,0,0,0,0.017,0.0538
16/12/2006,17:52:00,3.258,0,235.49,13.8,0,0,17,0.0543,0,0,0,0.017,0.0543
16/12/2006,17:53:00,3.178,0,235.28,13.4,0,0,17,0.053,0,0,0,0.017,0.053
16/12/2006,17:54:00,2.72,0,235.06,11.6,0,0,17,0.0453,0,0,0,0.017,0.0453
16/12/2006,17:55:00,3.758,0.076,234.17,16.4,0,0,17,0.0626,0.0013,0,0,0.017,0.0626
